,,tree_names
1,Acanthisitta_chloris_YPM_125219,Acanthisitta_chloris
2,Accipiter_nisus_NHMUK_S1982.149.1,Accipiter_superciliosus
3,Alcedo_atthis_NHMUK_S_1994.7.1,Alcedo_quadribrachys
4,Anas_discors_NHMUK_S2001.41.5,Anas_superciliosa
5,Anhinga_anhinga_FMNH_491374,Anhinga_anhinga
6,Anser_fabalis_NHMUK_1895.2.6.9_,Anser_canagicus
7,Anseranas semipalmata NHMUK 1852.7.22.1,Anseranas_semipalmata
8,Apaloderma_narino_FMNH_290897_,Apaloderma_aequatoriale
9,Aramus_guarauna_FMNH_376078,Aramus_guarauna
10,Archilochus_colubris_FMNH_484738,Archilochus_colubris
11,Ardea_alba_UMZC_338H,Ardea_herodias
12,Choriotis_kori_UMMZ_210444,Ardeotis_kori
13,Arenaria_interpres_FMNH_313992,Arenaria_interpres
14,Aythya_ferina_NMHUK_1851.12.23.15,Aythya_valisineria
15,Balaeniceps_rex_NHMUK_S1952.1.100,Balaeniceps_rex
16,Balearica_pavonina_NHMUK_1859.10.26.5_ROGER,Balearica_regulorum
17,Barnardius_zonarius_NHMUK_S_1983.5.1,Barnardius_zonarius
18,Bonasa_umbellus_FMNH_348972,Bonasa_umbellus
19,Bucco_capensis_FMNH_330305,Bucco_capensis
20,Bucorvus_abyssinicus_NHMUK_S2006.31.20_,Bucorvus_leadbeateri
21,Burhinus_senegalensis_FMNH_313704,Burhinus_oedicnemus
22,Buteo_rufofuscus_NHMUK_1862.1.18.1,Buteo_jamaicensis
23,Calandrella_cinerea_NHMUK_S1961.13.34,Calandrella_brachydactyla
24,Calyptomena_viridis_NHMUK_s1969.1.70,Calyptomena_viridis
25,Capito_niger_FMNH_321049,Capito_niger
26,Caprimulgus_macrurus_FMNH_392245,Caprimulgus_europaeus
27,Caracara_cheriway_UMMZ_133664,Caracara_cheriway
28,Cariama_cristata_FMNH_105653,Cariama_cristata
29,Cathartes_burrovianus_UMMZ_227466,Cathartes_burrovianus
30,Pipra_erythrocephala_UMMZ_157210,Pipra_erythrocephala
31,Chaetura_brachyrua_UMMZ_157689,Chaetura_brachyura
32,Charadris_vociferus_FMNH_470173,Charadrius_hiaticula
33,Chauna_chavaria_OUMNH_23790,Chauna_torquata
34,Chelidoptera_tenebrosa_YPM_114404,Chelidoptera_tenebrosa
35,Choloroceryle_amazona_UMMZ_209261,Chloroceryle_inda
36,Chordeiles_minor_UMMZ_233923,Chordeiles_pusillus
37,Larus_novae-hollandiae_UMZC_274.C_,Chroicocephalus_cirrocephalus
38,Chunga_burmeisteri_FMNH_106731,Chunga_burmeisteri
39,Climacteris_melanura_UMMZ_214303,Climacteris_melanura
40,Colinus_virginianus_FMNH_105065,Colinus_cristatus
41,Colius_macrourus_FMNH_368959_,Urocolius_indicus
42,Colius_striatus_FMNH_384817,Colius_colius
43,Columba_palumbus_UMZC_409A_,Columba_livia
44,Columbina_minuta_FMNH_289160,Columbina_minuta
45,Coracias_benghalensis_NHMUK_S1987.19.15,Coracias_cyanogaster
46,Corvus_brachyrhynchos_FMNH_441515_,Corvus_albus
47,Crax_mitu_FMNH_320386,Crax_alector
48,Chloropipio_holochlora_FMNH_288169,Cryptopipo_holochlora
49,Crypturellus_tataupa_UMMZ_201948,Crypturellus_tataupa
50,Cuculus_fugax_FMNH_357420,Cuculus_optatus
51,Dendrocygna_bicolor_UMMZ_219885_,Dendrocygna_viduata
52,Deroptyus_accipitrinus_NHMUK_S2002.14.2,Deroptyus_accipitrinus
53,Diomedea_irrorata_NHMUK_S1963.28.4,Phoebastria_nigripes
54,Elaenia_flavogaster_FMNH_394495,Elaenia_flavogaster
55,Elanus_caerulenus_NHMUK_1850.8.15.159,Elanus_leucurus
56,Eudromia_elegans_UMMZ_156966,Eudromia_elegans
57,Eurypyga_helias_FMNH_317341,Eurypyga_helias
58,Falco_sparverius_UMMZ_154462,Falco_sparverius
59,Fregata_aquila_NHMUK_1890.11.3.3,Fregata_magnificens
60,Fringilla_coelebs_OUMNH_24647,Fringilla_coelebs
61,Galbula_dea_FMNH_376705_ALL_,Galbula_dea
62,Gavia_stellata_NHMUK 1891.7.20.132,Gavia_immer
63,Glareola_pratincola_FMNH_368875,Glareola_nuchalis
64,Grus_leucogeranus_UMZC_344D,Grus_canadensis
65,Haematopus_ostralegus_FMNH_363899,Haematopus_palliatus
66,Podica_senegalensis_UMZC_209A_,Heliornis_fulica
67,Hemiprocne_comata_UMMZ_158224,Hemiprocne_comata
68,Hirundinea_bellicosa_UMMZ_200850,Hirundinea_ferruginea
69,Hymenops_persipicillata_UMMZ_158790,Hymenops_perspicillatus
70,Indicator_exilis_FMNH_429726,Indicator_exilis
71,Ixobrychus_minutus_NHMUK_S_2007_61.1_,Ixobrychus_minutus
72,Jacana_jacana_NHMUK_S_1990.2.5,Jacana_jacana
73,Jynx_torquilla_NHMUK_s1986.36.10,Jynx_torquilla
74,Leptoptilos_crumeniferus_NHMUK_S_1952.3.182,Leptoptilos_crumeniferus
75,Leptotila_rufazilla_FMNH_318659,Leptotila_rufaxilla
76,Limosa_lapponica_NHMUK_S_1994.46,Limosa_lapponica
77,Malurus_melanocephalus_UMMZ_224775,Malurus_splendens
78,Megalaima_chrysopogon_NHMUK_1850.8.15.28,Megalaima_chrysopogon
79,Melanopareia_torquata_FMNH_335140,Melanopareia_maximiliani
80,Menura_novaehollandiae_FMNH_336751,Menura_novaehollandiae
81,Micrastur_ruficollis_FMNH_330226,Micrastur_gilvicollis
82,Momotus_momota_NHMUK_S_2105.23,Momotus_lessonii
83,Monias_benschi_NHMUK_1924.11.29.1,Monias_benschi
84,Myiobius_varbatus_FMNH_386812,Myiobius_barbatus
85,Myrmornis_torquata_YPM_106157,Myrmornis_torquata
86,Myrmothera_campanisona_FMNH_322348,Myrmothera_campanisona
87,Neodrepanis_coruscans_FMNH_363807,Neodrepanis_coruscans
88,Numida_meleagris_FMNH_390428,Numida_meleagris
89,Nyctibius_griseus_UMMZ_136371,Nyctibius_griseus
90,Oceanodroma_leucorhoa_NHMUK_S1953.3.10,Oceanodroma_leucorhoa
91,Odontophorous_guttatus_UMMZ_210631,Odontophorus_gujanensis
92,Opisthocomus_hoazin_NHMUK_S1961.6.1,Opisthocomus_hoazin
93,Ortalis_ruficauda_UMMZ_155489,Ortalis_motmot
94,Pandion_haliaetus_FMNH_437336,Pandion_haliaetus
95,Pedionomus_torquatus_NHMUK_A1970.12.1,Pedionomus_torquatus
96,Pelagodroma_marina_NHMUK_1895.7.1.163_ALL,Pelagodroma_marina
97,Pelecanoides_urinatrix_NHMUK_S2006.1.14,Pelecanoides_urinatrix
98,Pelecanus_occidentalis_NHMUK_S1973.66.16,Pelecanus_occidentalis
99,Phaethon_lepturus_NHMUK_1876.3.16.3,Phaethon_rubricauda
100,Phalacrocorax_albiventer_NHMUK_S_2012.36.1,Phalacrocorax_brasilianus
101,Phoenicopterus_roseus_UMZC_346B_ALL,Phoenicopterus_ruber
102,Phoeniculus_purpureus_FMNH_368956,Phoeniculus_purpureus
103,Picus_viridis_NHMUK_NHMUK_S1982.5.1,Picus_canus
104,Piprites_chloris_FMNH_290398,Piprites_chloris
105,Poecile_atricapillis_FMNH_504323,Poecile_lugubris
106,Porphyrio_poliocephalus_NHMUK_S1952.1.93,Porphyrio_porphyrio
107,Probosciger_aterriumus_NHMUK_S2006.15.5,Probosciger_aterrimus
108,Psittacus_erithacus_NHMUK_S1992.41.60_,Psittacus_erithacus
109,Psittrichas_fulgidus_YPM_141821,Psittrichas_fulgidus
110,Psophia_crepitans_FMNH_105783,Psophia_crepitans
111,Pterocles_quadricinctus FMNH 319937,Pterocles_bicinctus
112,Ptilinopus_lechlancheri_FMNH_358261,Ptilinopus_magnificus
113,Ptilonorhynchus_violaceus_UMMZ_155483,Ptilonorhynchus_violaceus
114,Puffinus_tenuirostris_NHMUK_1850.8.15.152,Puffinus_griseus
115,Pycnonotus_caffer_NHMUK_S1986.75.18_01,Pycnonotus_macrotis
116,Rallus_limnicola_FMNH_501812,Rallus_longirostris
117,Rhamphastos_ambiguus_NHMUK_S2002.21,Ramphastos_ambiguus
118,Recurvirostra_avosetta_NHMUk_S1962.10,Recurvirostra_americana
119,Regulus_ignicapillus_NHMUK_S1952.2.662_,Regulus_ignicapilla
120,Rhynchocyclus_olivaceus_FMNH_330600,Rhynchocyclus_olivaceus
121,Rollandia_rollandia_UMMZ_156975,Rollandia_rolland
122,Rollulus_rouloul_NHMUK_1871.7.20.87,Rollulus_rouloul
123,Rostratula_benghalensis_FMNH_319933,Rostratula_benghalensis
124,Rupicola_peruviana_UMMZ_119210,Rupicola_rupicola
125,Rynchops_niger_FMNH_376309,Rynchops_niger
126,Sagittarius_serpentarius_NHMUK_1898.5.7.1,Sagittarius_serpentarius
127,Sclerurus_mexicanus_FMNH_321715,Sclerurus_mexicanus
128,Scopus_umbretta_FMNH_313701_,Scopus_umbretta
129,Spheniscus_humboldti_NHMUK_S_2000.7.1,Spheniscus_humboldti
130,Sterna_hirundo_NHMUK_NHMUK_S_1975.65.4,Sterna_hirundo
131,Streptoprocne_zonaris_FMNH_85767,Streptoprocne_zonaris
132,Strix_aluco_NHMUK_S2001.38,Strix_varia
133,Sula_dactylatra_NHMUK_1890.11.3.10,Morus_serrator
134,Sylvia_borin_FMNH_385185,Sylvia_melanocephala
135,Terenura_spodioptila_FMNH_344009,Terenura_callinota
136,Tigrisoma_lineatum_FMNH_105528,Tigrisoma_lineatum
137,Tityra_semifasciata_NHMUK_1891.7.20.15,Tityra_cayana
138,Tockus_nasutus_NHMUK_S_1989.2.2,Tockus_camurus
139,Todus_mexicanus_FMNH_351174,Todus_mexicanus
140,Topaza_pyra_FMNH_318845,Topaza_pella
141,Treron_capellei_UMMZ_220454,Treron_calvus
142,Tringa_ochrophus_FMNH_368850,Tringa_solitaria
143,Trogon_melanurus_FMNH_290496,Trogon_elegans
144,Turdus_olivater_FMNH_319675,Turdus_olivater
145,Turnix_varius_NHMUK_S1952.2.142,Turnix_ocellata
146,Tyrannus_tyrannus_FMNH_487521,Tyrannus_albogularis
147,Tyto_alba_NHMUK_S1989.22.1_,Tyto_alba
148,Upupa_epops_FMNH_352821,Upupa_epops
149,Vultur_gryphus_NHMUK_S1955.5.11,Vultur_gryphus
